,time,base,script1,script_price1,script2,script_price2,script3,script_price3,initial base quantity,final base quantity,profit,arbitrage type
180,2023-12-17 20:09:47.942927,USDT,QUICKUSDT,0.04798000,QUICKBNB,0.42200000,BNBUSDT,240.90000000,200.0,423759.006,847118.0119999999,BUY_SELL_SELL
564,2023-12-17 20:09:47.948187,USDT,QUICKUSDT,0.04798000,QUICKBUSD,74.10000000,BUSDUSDT,1.00030000,200.0,308971.303,617542.606,BUY_SELL_SELL
326,2023-12-17 20:09:47.945169,USDT,USDCUSDT,1.00090000,PHBUSDC,0.00587000,PHBUSDT,0.88960000,200.0,30282.736999999997,60165.473999999995,BUY_BUY_SELL
297,2023-12-17 20:09:47.944790,USDT,PAXUSDT,0.99960000,PHBPAX,0.00639000,PHBUSDT,0.88960000,200.0,27854.587,55309.174,BUY_BUY_SELL
117,2023-12-17 20:09:47.941966,USDT,BEAMUSDT,0.06520000,BEAMBNB,0.02177000,BNBUSDT,240.90000000,200.0,16087.035,31774.07,BUY_SELL_SELL
76,2023-12-17 20:09:47.941324,USDT,AIONUSDT,0.00943000,AIONBNB,0.00261300,BNBUSDT,240.90000000,200.0,13350.347,26300.694,BUY_SELL_SELL
69,2023-12-17 20:09:47.941216,USDT,BTSUSDT,0.00540000,BTSBNB,0.00144800,BNBUSDT,240.90000000,200.0,12919.318000000001,25438.636000000002,BUY_SELL_SELL
102,2023-12-17 20:09:47.941688,USDT,USDCUSDT,1.00090000,USDCBNB,0.21755000,BNBUSDT,240.90000000,200.0,10472.074,20544.148,BUY_SELL_SELL
100,2023-12-17 20:09:47.941664,USDT,PAXUSDT,0.99960000,PAXBNB,0.20121000,BNBUSDT,240.90000000,200.0,9698.117,18996.234,BUY_SELL_SELL
333,2023-12-17 20:09:47.945250,USDT,USDCUSDT,1.00090000,DOGEUSDC,0.00212770,DOGEUSDT,0.09355000,200.0,8785.566,17171.132,BUY_BUY_SELL
304,2023-12-17 20:09:47.944875,USDT,PAXUSDT,0.99960000,DOGEPAX,0.00216820,DOGEUSDT,0.09355000,200.0,8632.671,16865.342,BUY_BUY_SELL
65,2023-12-17 20:09:47.941157,USDT,WTCUSDT,0.01030000,WTCBNB,0.00180500,BNBUSDT,240.90000000,200.0,8443.134,16486.268,BUY_SELL_SELL
300,2023-12-17 20:09:47.944826,USDT,PAXUSDT,0.99960000,FTMPAX,0.01028000,FTMUSDT,0.40440000,200.0,7870.793,15341.585999999998,BUY_BUY_SELL
244,2023-12-17 20:09:47.944084,USDT,TUSDUSDT,0.99810000,FTMTUSD,0.01095000,FTMUSDT,0.40440000,200.0,7400.302,14400.604,BUY_BUY_SELL
